auction,price_eur,price_gbp,DeliveryDate,DeliveryInterval
DAM,70,62.233,2021/01/26,1
DAM,76,67.568,2021/01/26,1
DAM,76.19,67.736,2021/01/26,1
DAM,77.99,69.337,2021/01/26,1
DAM,78.65,69.924,2021/01/26,1
DAM,78,69.346,2021/01/26,1
DAM,75,66.679,2021/01/26,1
DAM,75.83,67.416,2021/01/26,1
DAM,93.1,82.77,2021/01/26,1
DAM,140.55,124.956,2021/01/26,1
DAM,117.64,104.587,2021/01/26,1
DAM,89.04,79.161,2021/01/26,1
DAM,78,69.346,2021/01/26,1
DAM,73.41,65.265,2021/01/26,1
DAM,70.26,62.46,2021/01/26,1
DAM,67.1,59.623,2021/01/27,1
DAM,64.56,57.366,2021/01/27,1
DAM,64.87,57.642,2021/01/27,1
DAM,62.36,55.411,2021/01/27,1
DAM,60.05,53.359,2021/01/27,1
DAM,62,55.092,2021/01/27,1
DAM,63.37,56.309,2021/01/27,1
DAM,69.51,61.765,2021/01/27,1
DAM,77.21,68.607,2021/01/27,1
DAM,81.49,72.41,2021/01/27,1
DAM,85.54,76.009,2021/01/27,1
DAM,87.41,77.67,2021/01/27,1
DAM,89,79.083,2021/01/27,1
DAM,95.7,85.036,2021/01/27,1
DAM,96,85.303,2021/01/27,1
DAM,91.76,81.535,2021/01/27,1
DAM,90.36,80.291,2021/01/27,1
DAM,103.72,92.163,2021/01/27,1
DAM,179.04,159.09,2021/01/27,1
DAM,115,102.186,2021/01/27,1
DAM,81,71.974,2021/01/27,1
DAM,64,56.869,2021/01/27,1
DAM,64.92,57.69,2021/01/27,1
DAM,61,54.203,2021/01/27,1
DAM,62.68,55.4,2021/01/28,1
DAM,57.9,51.176,2021/01/28,1
DAM,52.75,46.624,2021/01/28,1
DAM,49.35,43.619,2021/01/28,1
DAM,39.62,35.019,2021/01/28,1
DAM,38.05,33.631,2021/01/28,1
DAM,46.63,41.214,2021/01/28,1
DAM,57.9,51.176,2021/01/28,1
DAM,58.15,51.396,2021/01/28,1
DAM,65.56,57.946,2021/01/28,1
DAM,68.56,60.597,2021/01/28,1
DAM,68.64,60.668,2021/01/28,1
DAM,66.43,58.715,2021/01/28,1
DAM,68.64,60.668,2021/01/28,1
DAM,66.47,58.75,2021/01/28,1
DAM,65.42,57.822,2021/01/28,1
DAM,65.6,57.981,2021/01/28,1
DAM,75.33,66.581,2021/01/28,1
DAM,99,87.502,2021/01/28,1
DAM,85.78,75.818,2021/01/28,1
DAM,67.67,59.811,2021/01/28,1
DAM,61,53.916,2021/01/28,1
DAM,61.92,54.729,2021/01/28,1
DAM,58.11,51.361,2021/01/28,1
DAM,57.23,50.79,2021/01/29,1
DAM,53.93,47.861,2021/01/29,1
DAM,50,44.373,2021/01/29,1
DAM,43.89,38.951,2021/01/29,1
DAM,35.97,31.922,2021/01/29,1
DAM,32.38,28.736,2021/01/29,1
